,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21
Robin_office_Zelma,8.358753370663747e-09,3.937563891992795e-234,0.0,0.0,0.0,9.782763555314172e-18,2.7667293127243876e-12,0.0,0.0,0.0,2.338662666875308e-10,6.035081253596391e-39,0.0,0.0,0.0,0.0,0.0,0.9999999914046143,0.0,0.0,0.0,5.324586218091974e-17
Robin_lodging_Renea,1.0432656940511406e-142,1.0558526631256884e-161,0.0,0.0,0.0,2.3120400329389213e-49,6.323333061561519e-16,0.0,0.0,0.0,0.9997762268270163,1.939994398176868e-91,0.0,0.0,0.0,0.0,0.0,0.00022299658159159361,0.0,0.0,0.0,7.765913909661029e-07
Robin_lodging_Armand,4.193899886864238e-24,3.3040588203230394e-114,0.0,0.0,0.0,2.2352008840879796e-37,1.776074637330562e-17,0.0,0.0,0.0,0.008740300386707364,2.0713182389157555e-47,0.0,0.0,0.0,0.0,0.0,0.9456201394529626,0.0,0.0,0.0,0.04563956016033044
Robin_education_Karyl,0.9999848793993855,0.0,0.0,0.0,0.0,9.45293638761075e-67,1.9044940252888964e-23,0.0,0.0,0.0,3.3807221252793934e-14,5.851242258028867e-27,0.0,0.0,0.0,0.0,0.0,4.156967474796742e-06,0.0,0.0,0.0,1.0963633105918853e-05
Robin_lodging_Janie,1.1128173326493652e-137,0.9999999999603659,0.0,0.0,0.0,1.801389590674232e-34,3.0518377754230073e-19,0.0,0.0,0.0,1.0195212899252779e-14,8.758646016958496e-127,0.0,0.0,0.0,0.0,0.0,3.9622291412482316e-11,0.0,0.0,0.0,1.4762450390027475e-15
Shrew_office_Sherill,0.0,0.0,0.0,0.0,0.0,1.55970814140581e-69,4.803410377077441e-66,0.0,1.0,0.0,3.3223044499571388e-50,0.0,0.0,0.0,0.0,0.0,0.0,1.1604812121926862e-67,0.0,0.0,0.0,5.811386722261234e-70
Shrew_office_Rose,6.630757123142295e-20,7.931183689349708e-131,0.0,0.0,0.0,1.5578568710964351e-41,1.7375184306309947e-23,0.0,0.0,0.0,0.00033913189128208915,5.412363033311761e-114,0.0,0.0,0.0,0.0,0.0,0.000431849646125866,0.0,0.0,0.0,0.999229018462592
Shrew_office_Nora,0.0,0.0,0.0,0.0,0.0,6.107755830758896e-93,3.01044266962257e-69,0.0,0.0,0.0,9.760585865089687e-53,0.0,0.0,0.0,0.0,0.0,1.0,6.923047596727191e-71,0.0,0.0,0.0,2.920940157361493e-53
Shrew_office_Katherine,3.3561538464651774e-187,6.68204048651019e-91,0.0,0.0,0.0,4.70434104615218e-134,4.7321107053166727e-66,0.0,0.0,0.0,3.115727728460268e-59,9.157305661248313e-140,0.0,0.0,0.0,0.0,0.0,1.8824598593127157e-54,1.0,0.0,0.0,2.052727729510687e-65
Shrew_office_Ila,2.1249673917316445e-53,2.4731054235331226e-112,0.0,0.0,0.0,8.287797158296509e-21,0.9999997044953758,0.0,0.0,0.0,7.363857647425283e-08,4.0010296210159413e-137,0.0,0.0,0.0,0.0,0.0,1.568971349042785e-07,0.0,0.0,0.0,6.496891223713557e-08
Shrew_office_Doug,0.000401089997543689,1.044135408266593e-237,0.0,0.0,0.0,2.0977201677973507e-33,2.1680256044348496e-11,0.0,0.0,0.0,6.382146480560905e-07,2.278694150671472e-37,0.0,0.0,0.0,0.0,0.0,0.9994474237262453,0.0,0.0,0.0,0.00015084803988291357
Shrew_office_Doris,7.958802225386296e-95,0.0,0.0,0.0,0.0,1.4762403882132324e-28,0.9999999993073914,0.0,1.3108247348489556e-299,0.0,6.772354261775514e-12,1.3524853672651454e-203,0.0,0.0,0.0,0.0,0.0,6.858270028245874e-10,0.0,0.0,0.0,8.9716234546924e-15
Shrew_office_Lin,0.0,8.006154251183813e-97,0.0,0.0,1.0,1.8947830645711085e-86,4.4242216453651104e-63,0.0,1.0533821381012412e-91,0.0,1.3684918452908296e-63,0.0,0.0,0.0,0.0,0.0,0.0,9.588903905408454e-69,0.0,0.0,0.0,6.267761583560672e-80
Shrew_office_Kenneth,4.812809087599103e-105,0.0,0.0,0.0,0.0,1.6420139267817536e-51,7.898486006665691e-21,0.0,0.0,0.0,0.00019912301813959464,1.8006065424376237e-131,0.0,0.0,0.0,0.0,0.0,5.641105493306765e-13,0.0,0.0,0.0,0.9998008769812969
Mouse_health_Buddy,0.0,0.0,0.0,1.0,0.0,0.0,4.297278934073123e-239,0.0,0.0,0.0,6.707866293582116e-158,0.0,0.0,0.0,0.0,0.0,0.0,3.878181056652241e-146,0.0,0.0,0.0,0.0
Mouse_health_Modesto,0.0,0.0,1.0,0.0,0.0,3.070173232067094e-222,3.361805684314007e-241,0.0,0.0,0.0,2.146191290433204e-123,0.0,0.0,0.0,0.0,0.0,0.0,3.5198157194051305e-181,0.0,0.0,0.0,1.3472751127691654e-235
Mouse_lodging_Vicente,5.1405550266618735e-37,0.0,0.0,0.0,0.0,7.413526856520142e-59,4.526319072140594e-24,0.0,0.0,0.0,1.098033453763408e-15,0.9999999998893898,0.0,0.0,0.0,0.0,0.0,9.927040465397341e-11,0.0,0.0,0.0,1.1338634371506628e-11
Mouse_health_Justin,0.0,4.141286462822749e-245,0.0,0.0,0.0,2.8365851248735245e-70,4.80052789317266e-306,0.0,8.751143246481497e-286,1.0,1.9602380842976313e-121,0.0,0.0,0.0,0.0,0.0,0.0,2.186153383268354e-127,0.0,0.0,0.0,3.3134001578671454e-154
Mouse_health_Ileana,3.3563404554441877e-11,1.1199811334586513e-308,0.0,0.0,0.0,1.497542741115332e-34,2.3045589180066002e-14,0.0,0.0,0.0,1.0358529379981438e-05,2.022897599498053e-86,0.0,0.0,0.0,0.0,0.0,0.050768885261492064,0.0,0.0,0.0,0.9492207561755408
Mouse_health_Estela,2.099131987885073e-235,1.030845111079206e-301,0.0,0.0,0.0,3.11629817285992e-60,8.196380026415801e-64,0.0,2.4904087853236335e-149,0.0,1.7732193821252758e-58,6.972545009950528e-244,0.0,0.0,0.0,1.0,0.0,4.321910742008741e-73,0.0,0.0,0.0,4.699732276332747e-80
Mouse_science_Micheal,0.0,7.002331131334775e-228,0.0,0.0,0.0,0.0,8.826686607429644e-260,0.0,0.0,0.0,6.265402898910881e-184,0.0,0.0,1.0,0.0,0.0,0.0,3.1832593512247577e-170,0.0,0.0,0.0,0.0
