,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22,Cluster_23,Cluster_24
Robin_education_Terrance,0.0,2.2811716588997882e-24,0.0,0.0,0.0,0.0,8.546194088514423e-38,0.0,1.6429650096615244e-134,0.0,0.0,2.433014440962594e-102,0.0,1.6121610051349986e-53,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.562216120235568e-34,0.0,0.0,0.0
Robin_lodging_Elmer,0.0,1.143166227264535e-36,0.0,0.0,0.0,0.0,2.038758385565492e-26,0.0,0.9999989775292595,0.0,0.0,2.1331538551258086e-34,1.3185922519536266e-224,9.835142204394738e-07,0.0,0.0,0.0,0.0,0.0,2.705371513912225e-213,0.0,3.895652036577194e-08,0.0,0.0,0.0
Robin_office_Addie,0.0,0.021330580131801308,0.0,0.0,0.0,0.0,3.0521073169672055e-21,0.0,2.11719927131334e-55,0.0,0.0,0.978432979672206,6.944822895999494e-158,8.982523846379114e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023644019599309806,0.0,0.0,0.0
Robin_education_Cecilia,0.0,0.001225665600093253,0.0,0.0,0.0,0.0,2.9185414072091e-20,0.0,1.1100479579625319e-44,0.0,0.0,0.9987523837959728,6.050105242887053e-128,4.8095003691567734e-26,0.0,0.0,0.0,0.0,0.0,2.1555725201696377e-262,0.0,2.1950603933394998e-05,0.0,0.0,0.0
Robin_education_Kiera,0.0,3.580470476844031e-12,0.0,0.0,0.0,0.0,6.833792526387388e-11,0.0,1.601790348052388e-33,0.0,0.0,5.212665317980624e-24,7.293870021760811e-188,2.528931291785546e-08,0.0,0.0,0.0,0.0,0.0,1.0031734866670897e-71,0.0,0.999999974638769,0.0,0.0,0.0
Robin_lodging_Pricilla,0.0,5.107113303612153e-28,0.0,0.0,0.0,0.0,1.0694191698338227e-23,0.0,0.9999593197811372,0.0,0.0,2.330821180394064e-20,3.606205333252931e-244,3.6782500818333325e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.897718044820855e-06,0.0,0.0,0.0
Robin_education_So,1.327351073362647e-135,2.9236425812161283e-39,0.0,0.0,0.0,0.0,5.916787887009946e-44,0.0,5.134423619810888e-144,0.0,0.0,3.884048620730368e-241,1.0,5.643261138414626e-46,0.0,0.0,0.0,0.0,0.0,2.810576096871857e-253,0.0,1.447062232190629e-70,0.0,0.0,0.0
Robin_office_Maryann,0.0,6.76597142478954e-11,0.0,0.0,0.0,0.0,0.9999999999323403,0.0,2.750155386706422e-122,0.0,0.0,2.1607035205103862e-63,9.609688709095859e-76,5.568065223794985e-41,0.0,0.0,0.0,0.0,0.0,8.871229084212165e-124,0.0,3.0333185403268204e-21,0.0,0.0,0.0
Robin_office_Serena,0.0,1.774980362349439e-05,0.0,0.0,0.0,0.0,1.2113858928691733e-16,0.0,1.0335509832895432e-31,0.0,0.0,5.8652080598885606e-08,3.875275750877937e-203,3.3827123516445853e-14,0.0,0.0,0.0,0.0,0.0,3.2538992699869695e-188,0.0,0.999982191544262,0.0,0.0,0.0
Robin_education_Derrick,8.370638866652307e-189,5.212713927374227e-31,0.0,0.0,0.0,0.0,3.839300843908114e-32,0.0,8.066676504228537e-124,0.0,0.0,2.2336730387892824e-176,1.0,1.8787793193856378e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9096528154426155e-56,0.0,0.0,0.0
Robin_education_Megan,0.0,6.937486060642795e-10,0.0,0.0,0.0,0.0,0.9999999993062474,0.0,1.001130800116568e-85,0.0,0.0,7.765099471735294e-80,1.2405971576995918e-114,6.428244405921075e-27,0.0,0.0,0.0,0.0,0.0,4.071606791579512e-30,0.0,3.514477136316418e-15,0.0,0.0,0.0
Robin_office_Adolph,0.0,0.9867074113358059,0.0,0.0,0.0,0.0,1.5348196973086414e-17,0.0,7.808643155795273e-67,0.0,0.0,5.3673862883938366e-05,2.4190193253147273e-150,4.544891662870653e-24,0.0,0.0,0.0,0.0,0.0,5.816362093179086e-184,0.0,0.013238914801310373,0.0,0.0,0.0
