,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8
Shrew_office_Nora,0.0,0.0,0.0,0.0,0.0,1.24e-322,1.0,8.456244219845047e-250,0.0
Shrew_office_Katherine,0.0,0.0,0.0,0.0,0.0,1.6397735004906618e-78,0.0,1.0,0.0
Shrew_office_Ila,0.0,0.0,0.0,0.0,0.0,5.131916417820845e-53,1.0,3.2863104860839895e-38,0.0
Shrew_office_Doug,0.0,0.0,0.0,0.0,0.0,0.002008573400546823,0.0,0.9979914265994528,0.0
Shrew_office_Doris,0.0,0.0,0.0,0.0,0.0,7.337093490944737e-100,1.0,1.3669765926258856e-73,0.0
Shrew_office_Lin,0.0,0.0,0.0,1.0,0.0,1.84215337038e-312,0.0,1.309387163227339e-143,0.0
Shrew_office_Kenneth,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.88219152850566e-196,0.0
Mouse_health_Buddy,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Modesto,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Mouse_lodging_Vicente,0.0,0.0,0.0,0.0,0.0,4.598005825876881e-10,0.0,0.9999999995401998,0.0
Mouse_health_Justin,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Ileana,0.0,0.0,0.0,0.0,0.0,7.501847937886803e-10,0.0,0.9999999992498161,0.0
Mouse_health_Estela,0.0,0.0,0.0,0.0,0.0,4.451230186761184e-295,0.0,1.555742697478705e-140,1.0
Mouse_science_Micheal,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
