,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22,Cluster_23,Cluster_24,Cluster_25
Robin_office_Addie,0.0,0.0,4.988297755874563e-21,0.0,4.911501102903871e-24,0.0,0.0002807315044187522,0.0,0.0,0.0,0.0,0.0,0.9997192199517313,4.854384964891052e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.388606893362673e-66,0.0,7.707117728702407e-43,0.0,0.0
Robin_education_Cecilia,0.0,0.0,7.79398737599342e-20,0.0,9.108807386424504e-37,0.0,0.0002920272509140355,0.0,0.0,0.0,0.0,0.0,0.9997079548511896,1.7897896855102904e-08,0.0,0.0,0.0,0.0,0.0,0.0,5.757568116130364e-262,2.2832244349124624e-65,0.0,3.176197213540403e-35,0.0,0.0
Robin_education_Kiera,0.0,0.0,7.993834477762041e-11,0.0,8.30912385421927e-06,0.0,8.588610983947331e-12,0.0,0.0,0.0,0.0,0.0,4.02747264281411e-06,0.9999876633149756,0.0,0.0,0.0,0.0,0.0,0.0,1.1735428517298886e-71,7.208516724875134e-47,0.0,6.365835763996505e-48,0.0,0.0
Robin_lodging_Pricilla,0.0,0.0,3.230336991319368e-23,0.0,0.9999774962543496,0.0,3.983381056698917e-26,0.0,0.0,0.0,0.0,0.0,6.463284066813869e-14,2.2503745585511002e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.521399142230666e-57,0.0,1.3470649974894105e-29,0.0,0.0
Robin_education_So,0.0,0.0,6.01416458705881e-41,0.0,1.0452827883411654e-88,0.0,3.1973146754301405e-58,0.0,0.0,0.0,0.0,0.0,4.560837741191779e-112,1.0805141201145295e-96,0.0,0.0,0.0,0.0,0.0,0.0,2.857932324475003e-250,1.0,0.0,3.5834133519187883e-266,0.0,0.0
Robin_office_Maryann,0.0,0.0,0.9999999999996145,0.0,1.8360635943332608e-27,0.0,3.853055516569831e-13,0.0,0.0,0.0,0.0,0.0,4.73923973717847e-28,1.946206211681883e-24,0.0,0.0,0.0,0.0,0.0,0.0,8.871216459680915e-124,1.9259272939784736e-19,0.0,7.133287378278802e-121,0.0,0.0
Robin_office_Serena,0.0,0.0,1.0176527854417552e-15,0.0,4.720697524799783e-17,0.0,3.0392952608233614e-05,0.0,0.0,0.0,0.0,0.0,0.4753613529502399,0.5246082540971503,0.0,0.0,0.0,0.0,0.0,0.0,2.7339426155390035e-187,3.166617093065223e-53,0.0,1.1318802570810887e-37,0.0,0.0
Robin_education_Derrick,0.0,0.0,2.1556523738493437e-30,0.0,6.968154953205871e-76,0.0,2.7294951171357284e-43,0.0,0.0,0.0,0.0,0.0,1.3036433148104209e-83,3.291075026243225e-72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.029407285703339e-212,0.0,0.0
Robin_education_Megan,0.0,0.0,0.9999999999996447,0.0,5.29028852052676e-34,0.0,3.552911578400588e-13,0.0,0.0,0.0,0.0,0.0,1.6569109404629711e-25,4.36664074236563e-22,0.0,0.0,0.0,0.0,0.0,0.0,4.07150735642163e-30,2.8112136853198453e-31,0.0,1.2430651692109014e-56,0.0,0.0
Robin_office_Adolph,0.0,0.0,1.718477479861516e-17,0.0,1.1464349560332461e-18,0.0,0.010853613238912277,0.0,0.0,0.0,0.0,0.0,0.9891445688003341,1.8179607540016932e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.513637092807722e-184,8.474810984847162e-60,0.0,1.3703315954766666e-40,0.0,0.0
