,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22,Cluster_23
Robin_lodging_Elmer,5.956834377948539e-33,0.0,0.0,4.721705082996151e-08,0.0,0.0,0.0,0.0,3.3017141852891198e-223,6.978599794812083e-08,0.0,0.9999998829966967,0.0,0.0,2.544368233853213e-13,0.0,0.0,0.0,1.0619245525350354e-70,0.0,6.774166532548048e-212,0.0,0.0,0.0
Robin_office_Addie,1.699157835629675e-46,0.0,0.0,8.83410158937098e-06,0.0,0.0,0.0,0.0,1.9450574208044966e-157,4.690030699121317e-06,0.0,1.4569444414066365e-20,0.0,0.0,0.9999864758677119,0.0,0.0,0.0,4.789354572174563e-50,0.0,0.0,0.0,0.0,0.0
Robin_education_Cecilia,5.817771915941281e-40,0.0,0.0,0.0003259548737353385,0.0,0.0,0.0,0.0,3.5843721029067552e-127,2.030750281109719e-06,0.0,1.5356224455464789e-21,0.0,0.0,0.9996720143759833,0.0,0.0,0.0,4.750411920284304e-72,0.0,1.2770643973980215e-261,0.0,0.0,0.0
Robin_education_Kiera,2.5041092366830605e-19,0.0,0.0,3.561383521630874e-05,0.0,0.0,0.0,0.0,1.397751868788751e-187,0.9998121142061046,0.0,1.0958386514775998e-09,0.0,0.0,0.00015227086284040918,0.0,0.0,0.0,1.8352672718755918e-37,0.0,1.9224192527602975e-71,0.0,0.0,0.0
Robin_lodging_Pricilla,1.7036051301808813e-36,0.0,0.0,4.841311433118823e-08,0.0,0.0,0.0,0.0,6.498015000956256e-244,0.0001460305112436085,0.0,0.9998539105719699,0.0,0.0,1.0503671830896902e-08,0.0,0.0,0.0,1.684019141451989e-83,0.0,0.0,0.0,0.0,0.0
Robin_education_So,4.528718984441029e-74,0.0,0.0,8.03047719811301e-67,0.0,0.0,0.0,0.0,1.0,4.696073324874271e-77,0.0,8.204534142263659e-67,0.0,0.0,8.90617728263327e-109,0.0,0.0,0.0,2.3810241469618245e-21,0.0,2.810576096598982e-253,0.0,0.0,0.0
Robin_office_Maryann,0.9999999999999973,0.0,0.0,3.0535253156850446e-15,0.0,0.0,0.0,0.0,7.480920778190831e-76,4.055930990099454e-21,0.0,1.2471722450278599e-40,0.0,0.0,3.631197563158499e-25,0.0,0.0,0.0,3.831281761906682e-24,0.0,6.9060470104594365e-124,0.0,0.0,0.0
Robin_office_Serena,8.560344789925335e-33,0.0,0.0,0.0006443124431233134,0.0,0.0,0.0,0.0,1.4577376724670005e-202,0.9287495886639768,0.0,1.6188352876755585e-11,0.0,0.0,0.07060609887671226,0.0,0.0,0.0,1.0174032248955974e-53,0.0,1.2239984591799384e-187,0.0,0.0,0.0
Robin_education_Derrick,5.153516907213051e-47,0.0,0.0,1.4636340581457584e-49,0.0,0.0,0.0,0.0,0.9999999999999951,1.8012053244981225e-57,0.0,3.236352203175411e-59,0.0,0.0,1.5094223131985442e-81,0.0,0.0,0.0,5.0018614209336604e-15,0.0,0.0,0.0,0.0,0.0
Robin_education_Megan,0.9999999998966764,0.0,0.0,1.0332370820231865e-10,0.0,0.0,0.0,0.0,6.844631933917249e-115,1.862366443690254e-18,0.0,8.761411771978598e-35,0.0,0.0,1.6504647635499148e-24,0.0,0.0,0.0,2.689837992192141e-28,0.0,2.246389949799482e-30,0.0,0.0,0.0
Robin_office_Adolph,3.8116602439026166e-40,0.0,0.0,0.0021274993456932697,0.0,0.0,0.0,0.0,6.076005577475814e-150,8.267092998288079e-05,0.0,1.686341909742553e-24,0.0,0.0,0.9977898297243238,0.0,0.0,0.0,5.458625658792692e-38,0.0,1.4609328725346576e-183,0.0,0.0,0.0
Robin_office_Lindsay,5.734207750900532e-25,0.0,0.0,0.9571602769296498,0.0,0.0,0.0,0.0,1.656469110671226e-118,2.0429784622420137e-05,0.0,2.5756374804111785e-29,0.0,0.0,0.042819293285727845,0.0,0.0,0.0,2.6444166367574436e-54,0.0,9.041486066e-315,0.0,0.0,0.0
Robin_education_Takako,1.0019878241215401e-13,0.0,0.0,0.9999997781865557,0.0,0.0,0.0,0.0,3.7341781807229735e-134,3.282349899316284e-12,0.0,6.12438885910737e-39,0.0,0.0,2.2181006107708157e-07,0.0,0.0,0.0,6.060252217832258e-63,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Oliva,1.9215667454224678e-45,0.0,0.0,1.4363584723550695e-12,0.0,0.0,0.0,0.0,2.5432755937658373e-288,0.01151969285332322,0.0,0.9884803071363756,0.0,0.0,8.86578350554337e-12,0.0,0.0,0.0,2.724173064250474e-99,0.0,0.0,0.0,0.0,0.0
Robin_office_Victor,5.4398453398452204e-30,0.0,0.0,2.8541720576431463e-05,0.0,0.0,0.0,0.0,3.096134778725888e-175,0.8493146934069529,0.0,3.2288232755282177e-12,0.0,0.0,0.1506567648692419,0.0,0.0,0.0,1.7937159992546e-37,0.0,6.320508500720675e-173,0.0,0.0,0.0
Robin_education_Margarito,6.01986323608297e-39,0.0,0.0,3.2538773932292918e-49,0.0,0.0,0.0,0.0,4.814177486739079e-99,8.310453862925604e-63,0.0,1.2846396652587913e-65,0.0,0.0,2.653741702299962e-77,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Robin_public_Cami,7.478261249063906e-38,0.0,0.0,1.2828887831543002e-21,0.0,0.0,0.0,0.0,8.254621462749787e-200,0.9999999989215365,0.0,8.18758958449462e-10,0.0,0.0,2.597047313797062e-10,0.0,0.0,0.0,3.8206522480995314e-69,0.0,0.0,0.0,0.0,0.0
Robin_education_Kristopher,3.268830637643653e-18,0.0,0.0,0.9537840996778879,0.0,0.0,0.0,0.0,5.75941419467012e-163,1.1403318669009712e-08,0.0,4.631534536004763e-22,0.0,0.0,0.046215888918793066,0.0,0.0,0.0,3.300706583972394e-39,0.0,1.3621145654854028e-234,0.0,0.0,0.0
Robin_education_Billi,1.2003620621089158e-40,0.0,0.0,7.531732667359397e-16,0.0,0.0,0.0,0.0,1.0852962325606476e-294,0.9998336033406902,0.0,0.00016639312183054663,0.0,0.0,3.5374794000619764e-09,0.0,0.0,0.0,1.344750576026379e-71,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Celia,1.3832468943452277e-52,0.0,0.0,1.827610710102712e-13,0.0,0.0,0.0,0.0,2.19863202273677e-301,5.286589822102521e-06,0.0,0.9999947134099377,0.0,0.0,5.764965041645954e-14,0.0,0.0,0.0,3.2976523845372468e-130,0.0,2.9613289068364602e-95,0.0,0.0,0.0
