,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22,Cluster_23,Cluster_24,Cluster_25,Cluster_26,Cluster_27,Cluster_28,Cluster_29,Cluster_30,Cluster_31,Cluster_32,Cluster_33,Cluster_34,Cluster_35,Cluster_36,Cluster_37,Cluster_38,Cluster_39,Cluster_40,Cluster_41,Cluster_42,Cluster_43,Cluster_44,Cluster_45,Cluster_46,Cluster_47
Robin_office_Gayle,0.0,0.0,0.0,9.967532433038531e-28,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.174672649953144e-273,0.0,1.3513784181305853e-59,0.0,0.0,0.0,0.0,0.0,2.2169681327512924e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.639527135748799e-27,0.0,0.0,0.0,0.0,2.272707981425742e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Shirlene,0.0,0.0,0.0,6.297077393667769e-57,0.0,0.0,0.0,0.0,1.2920881072662296e-36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.297625765757299e-101,0.0,0.0,0.0,0.0,0.0,6.302669898643362e-133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0621469698313436e-80,0.0,0.0,0.0,0.0,7.015095026561874e-58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Robin_education_Madeline,0.0,0.0,0.0,1.0724452189563147e-58,0.0,0.0,0.0,1.0,4.233745365466542e-100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0280252757485897e-120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0647247898526647e-100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Phillip,0.0,0.0,0.0,1.1741484154434974e-11,0.0,0.0,0.0,0.0,2.2285940503485066e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999880358,0.0,0.0,0.0,0.0,0.0,1.3393103005492784e-37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.490329595377435e-44,0.0,0.0,0.0,0.0,3.454911990445738e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Jasper,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.4857522110420717e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.762483632190331e-38,0.0,0.0,0.0,0.0,0.0,5.19984265074277e-84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.182431343413718e-174,0.0,0.0,0.0,0.0,1.3066305439361604e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Wai,0.0,0.0,0.0,2.2789455485184617e-174,0.0,0.0,0.0,0.0,3.3681633929743626e-163,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2355696634612977e-220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5041877559314044e-170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Terrance,0.0,0.0,0.0,5.426400759787225e-265,0.0,0.0,0.0,0.0,2.586039273322983e-115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8515768874168008e-132,0.0,0.0,0.0,0.0,0.0,1.3773852697315136e-254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.150974370127487e-281,1.0,0.0,0.0,7.639718688834193e-145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Elmer,1.0,0.0,0.0,6.180927132126146e-54,0.0,0.0,0.0,0.0,1.976700168207906e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3927712713894595e-32,0.0,0.0,0.0,0.0,0.0,7.584869219521488e-150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.115321650982543e-239,0.0,0.0,0.0,0.0,1.009252897790015e-66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Addie,0.0,0.0,0.0,2.5658054772047024e-14,0.0,0.0,0.0,0.0,4.670279989992133e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.301046984285308e-18,0.0,0.0,0.0,0.0,0.0,0.9999999948598115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4660000992661556e-133,0.0,0.0,0.0,0.0,5.1396956986191856e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Cecilia,0.0,0.0,0.0,1.9929455943305806e-33,0.0,0.0,0.0,0.0,2.3934166460032734e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.373862419983971e-36,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3915401281392344e-154,0.0,0.0,0.0,0.0,2.051859206324244e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
