,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22
Robin_office_Saul,1.2024173618687007e-07,1.9887040440824777e-37,0.0,0.0,9.752292647319897e-25,0.0,0.0,1.3172606993350217e-11,0.0,0.0,1.0214095226592107e-23,0.0,0.0,7.448492141978461e-09,0.0,0.9999998722965994,0.0,0.0,9.735817275078344e-182,0.0,0.0,0.0,0.0
Robin_lodging_Donna,4.466287556762953e-09,1.0262485041005285e-62,0.0,0.0,4.3714866141001344e-14,0.0,0.0,0.009966618263357858,0.0,0.0,1.3647737401562595e-27,0.0,0.0,0.9900333771741266,0.0,9.618384964597723e-11,0.0,0.0,2.8838781830214453e-183,0.0,2.798792030127455e-212,0.0,0.0
Robin_office_Antonina,5.805745362792191e-72,8.403940265094172e-43,0.0,0.0,4.310445063072488e-206,0.0,0.0,9.577374040498332e-83,0.0,0.0,2.8272499202650188e-59,0.0,1.0,8.185749418587332e-136,0.0,6.375572553746004e-82,0.0,0.0,5.156869648588141e-147,0.0,0.0,0.0,0.0
Robin_office_Erma,4.21507420408912e-16,3.8760228239333383e-101,0.0,0.0,0.999999999904249,0.0,0.0,9.391203057099561e-11,0.0,0.0,1.7820296672131174e-43,0.0,0.0,7.247003609249213e-38,0.0,1.8390724109960216e-12,0.0,0.0,0.0,0.0,1.6513275728174151e-115,0.0,0.0
Robin_office_Zelma,0.9999992845145497,7.884630544288476e-09,0.0,0.0,4.3337383296567975e-46,0.0,0.0,1.1802402966002684e-09,0.0,0.0,3.8883094437902243e-16,0.0,0.0,4.866518392541634e-16,0.0,7.064205780380918e-07,0.0,0.0,9.907441469360404e-81,0.0,3.5344576522534085e-234,0.0,0.0
Robin_lodging_Renea,2.69599950705927e-05,2.328762280263481e-67,0.0,0.0,1.9419545931544224e-29,0.0,0.0,0.999972799934135,0.0,0.0,2.44869031524915e-13,0.0,0.0,2.4007054974933763e-07,0.0,1.8194558145939752e-16,0.0,0.0,1.7845925733313658e-187,0.0,1.7808663573224585e-161,0.0,0.0
Robin_lodging_Armand,5.255758812637822e-07,3.8592450290198733e-42,0.0,0.0,1.0370466506938779e-13,0.0,0.0,9.533653430443163e-06,0.0,0.0,1.0107238202533572e-24,0.0,0.0,0.9999883545890945,0.0,1.5861814896300725e-06,0.0,0.0,6.163920382005712e-149,0.0,1.1152102875583512e-116,0.0,0.0
Robin_education_Karyl,2.1115902679197976e-07,1.3418785132354667e-71,0.0,0.0,1.8237185327245852e-13,0.0,0.0,1.1983906088057072e-11,0.0,0.0,2.3653001020015818e-26,0.0,0.0,2.6599264975258297e-14,0.0,0.99999978882878,0.0,0.0,1.3663007433374724e-160,0.0,0.0,0.0,0.0
Robin_lodging_Janie,7.841372694289782e-09,6.356916615247717e-57,0.0,0.0,5.505066599321514e-40,0.0,0.0,1.1689537856378228e-20,0.0,0.0,1.099794410947157e-17,0.0,0.0,2.8662543962991276e-36,0.0,4.438278805194e-25,0.0,0.0,7.275304328107613e-305,0.0,0.9999999921586271,0.0,0.0
Shrew_office_Sherill,5.573650101243329e-107,8.009425213493692e-119,0.0,0.0,0.0,0.0,0.0,3.6834149998566218e-109,0.0,0.0,1.0285626658396936e-106,0.0,0.0,8.052778287596493e-195,0.0,1.3249377760420667e-140,0.0,0.0,0.0,0.0,0.0,0.0,1.0
